Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
1999,Utah,Colon and Rectum,42.8,39.6,46.2,654,2203482
1999,Arizona,Colon and Rectum,46.2,44.3,48.1,2315,5023823
1999,Colorado,Colon and Rectum,47,44.7,49.4,1619,4226018
1999,New Hampshire,Colon and Rectum,54.6,50.5,59,644,1222014
1999,Mississippi,Colon and Rectum,null,null,null,Data Suppressed,null
1999,Missouri,Colon and Rectum,58.7,56.8,60.7,3436,5561948
1999,Montana,Colon and Rectum,55.6,50.9,60.5,527,897507
1999,Minnesota,Colon and Rectum,52.4,50.3,54.5,2477,4873481
1999,Illinois,Colon and Rectum,60.4,59,61.8,7188,12359020
1999,Indiana,Colon and Rectum,57.8,55.9,59.7,3429,6044969
1999,Iowa,Colon and Rectum,65.8,63.1,68.7,2201,2917634
1999,Kansas,Colon and Rectum,56.2,53.4,59.1,1549,2678338
1999,Kentucky,Colon and Rectum,61.6,59.2,64.1,2455,4018053
1999,Louisiana,Colon and Rectum,59.5,57.1,61.9,2432,4460811
1999,Maine,Colon and Rectum,63.4,59.3,67.7,898,1266808
1999,Maryland,Colon and Rectum,55.6,53.5,57.7,2700,5254509
1999,Massachusetts,Colon and Rectum,59.7,57.9,61.6,3998,6317345
1999,Michigan,Colon and Rectum,55.7,54.2,57.2,5364,9897116
1999,New Jersey,Colon and Rectum,63.2,61.6,64.9,5508,8359592
1999,New York,Colon and Rectum,61.7,60.6,62.9,11824,18882725
1999,North Carolina,Colon and Rectum,50.4,48.8,52,3872,7949361
1999,North Dakota,Colon and Rectum,55.3,49.9,61.2,393,644259
1999,Ohio,Colon and Rectum,59.5,58.1,60.9,6986,11335454
1999,Oklahoma,Colon and Rectum,54,51.6,56.5,1912,3437147
1999,Oregon,Colon and Rectum,53.5,51.1,56,1866,3393941
1999,Pennsylvania,Colon and Rectum,62.2,60.9,63.5,9041,12263805
1999,Rhode Island,Colon and Rectum,67.3,62.6,72.2,784,1040402
1999,West Virginia,Colon and Rectum,61.8,58.5,65.3,1313,1811799
1999,Texas,Colon and Rectum,50.7,49.6,51.8,8502,20558220
1999,Vermont,Colon and Rectum,59.9,53.9,66.3,369,604683
1999,Virginia,Colon and Rectum,50.7,49,52.5,3271,7000174
1999,Washington,Colon and Rectum,52.9,51,54.9,2846,5842564
1999,Alabama,Colon and Rectum,49.7,47.7,51.8,2250,4430141
1999,Arkansas,Colon and Rectum,null,null,null,Data Suppressed,null
1999,Alaska,Colon and Rectum,62,53.1,71.8,209,624779
1999,Connecticut,Colon and Rectum,61.9,59.4,64.5,2283,3386401
1999,Delaware,Colon and Rectum,58.4,53.1,64,454,774990
1999,California,Colon and Rectum,50.8,50,51.6,14567,33499204
1999,District of Columbia,Colon and Rectum,60.7,54.4,67.5,337,570213
1999,Florida,Colon and Rectum,58.8,57.8,59.9,11925,15759421
1999,Georgia,Colon and Rectum,50.5,48.8,52.3,3329,8045965
1999,Hawaii,Colon and Rectum,55.5,51.4,59.8,680,1210300
1999,Wisconsin,Colon and Rectum,60.8,58.8,62.9,3338,5332666
1999,Wyoming,Colon and Rectum,58.3,51.5,65.8,267,491780
1999,South Dakota,Colon and Rectum,null,null,null,Data Suppressed,null
1999,Tennessee,Colon and Rectum,47.1,45.3,48.9,2640,5638706
1999,South Carolina,Colon and Rectum,54.7,52.3,57.1,2102,3974682
1999,Nebraska,Colon and Rectum,61.2,57.6,64.9,1100,1704764
1999,Nevada,Colon and Rectum,51.6,48.2,55.2,895,1934718
1999,Idaho,Colon and Rectum,45.4,41.6,49.4,526,1275674
1999,New Mexico,Colon and Rectum,44.4,41.2,47.7,739,1808082
2000,Idaho,Colon and Rectum,47.8,43.9,51.9,566,1299430
2000,Florida,Colon and Rectum,59,57.9,60,12109,16047515
2000,Georgia,Colon and Rectum,52.5,50.8,54.3,3567,8227303
2000,Hawaii,Colon and Rectum,51.6,47.7,55.8,650,1213519
2000,Illinois,Colon and Rectum,61.1,59.7,62.5,7328,12434161
2000,Indiana,Colon and Rectum,57.2,55.3,59.1,3432,6091866
2000,Iowa,Colon and Rectum,62.2,59.6,65,2110,2929067
2000,Kansas,Colon and Rectum,55.9,53.1,58.8,1551,2693681
2000,Kentucky,Colon and Rectum,61.7,59.3,64.2,2498,4049021
2000,Louisiana,Colon and Rectum,61.1,58.8,63.6,2542,4471885
2000,Maryland,Colon and Rectum,56.8,54.7,58.9,2822,5311034
2000,Massachusetts,Colon and Rectum,57.9,56.1,59.7,3922,6361104
2000,Maine,Colon and Rectum,59.9,56,64.1,865,1277072
2000,Michigan,Colon and Rectum,54.8,53.3,56.2,5338,9952450
2000,Alabama,Colon and Rectum,50.5,48.4,52.6,2305,4452173
2000,Alaska,Colon and Rectum,66.6,57.6,76.5,232,627963
2000,Arizona,Colon and Rectum,48.5,46.6,50.5,2499,5160586
2000,Montana,Colon and Rectum,51.6,47.2,56.3,500,903773
2000,Arkansas,Colon and Rectum,null,null,null,Data Suppressed,null
2000,California,Colon and Rectum,49.5,48.7,50.3,14524,33987977
2000,Nebraska,Colon and Rectum,62.2,58.6,65.9,1121,1713820
2000,Colorado,Colon and Rectum,49.2,46.9,51.6,1731,4326921
2000,Connecticut,Colon and Rectum,60.8,58.4,63.4,2268,3411777
2000,Nevada,Colon and Rectum,54.8,51.4,58.4,986,2018741
2000,Delaware,Colon and Rectum,62.8,57.4,68.5,500,786373
2000,Minnesota,Colon and Rectum,53.1,51.1,55.2,2551,4933692
2000,Mississippi,Colon and Rectum,null,null,null,Data Suppressed,null
2000,Missouri,Colon and Rectum,59.9,58,62,3546,5607285
2000,District of Columbia,Colon and Rectum,63.7,57.3,70.7,358,572046
2000,New Hampshire,Colon and Rectum,54.8,50.7,59.2,665,1239882
2000,New Jersey,Colon and Rectum,62.8,61.2,64.5,5541,8430621
2000,New Mexico,Colon and Rectum,44.1,41,47.4,752,1821204
2000,New York,Colon and Rectum,60.7,59.6,61.8,11794,19001780
2000,North Carolina,Colon and Rectum,51.9,50.3,53.5,4069,8081614
2000,North Dakota,Colon and Rectum,55.3,49.9,61.1,395,642023
2000,Ohio,Colon and Rectum,56.4,55.1,57.8,6677,11363543
2000,Oklahoma,Colon and Rectum,54.4,52,56.9,1943,3454365
2000,Oregon,Colon and Rectum,52.4,50.1,54.9,1851,3429708
2000,Pennsylvania,Colon and Rectum,61.3,60.1,62.6,8943,12284173
2000,Rhode Island,Colon and Rectum,62.2,57.7,66.9,732,1050268
2000,South Carolina,Colon and Rectum,55.7,53.4,58.1,2186,4024223
2000,South Dakota,Colon and Rectum,null,null,null,Data Suppressed,null
2000,Tennessee,Colon and Rectum,48.3,46.5,50.1,2750,5703719
2000,Texas,Colon and Rectum,51.4,50.3,52.5,8829,20944499
2000,Utah,Colon and Rectum,43.5,40.3,46.9,686,2244502
2000,Wyoming,Colon and Rectum,47.8,41.8,54.5,226,494300
2000,Vermont,Colon and Rectum,54.7,49.1,60.8,344,609618
2000,Virginia,Colon and Rectum,51.7,50,53.5,3417,7105817
2000,Washington,Colon and Rectum,51.6,49.7,53.5,2826,5910512
2000,West Virginia,Colon and Rectum,61.8,58.5,65.3,1319,1807021
2000,Wisconsin,Colon and Rectum,59.4,57.4,61.5,3295,5373999
2001,Utah,Colon and Rectum,38.7,35.7,41.8,627,2283715
2001,New Mexico,Colon and Rectum,43.3,40.2,46.5,758,1831690
2001,New York,Colon and Rectum,58,57,59.1,11396,19082838
2001,North Carolina,Colon and Rectum,49.6,48,51.1,3957,8210122
2001,North Dakota,Colon and Rectum,58.6,53.1,64.5,424,639062
2001,Ohio,Colon and Rectum,56.7,55.3,58,6760,11387404
2001,Oklahoma,Colon and Rectum,54.3,51.9,56.7,1954,3467100
2001,Montana,Colon and Rectum,55.7,51.2,60.6,548,906961
2001,Nebraska,Colon and Rectum,58.8,55.4,62.5,1079,1719836
2001,Nevada,Colon and Rectum,52.9,49.6,56.4,996,2098399
2001,New Hampshire,Colon and Rectum,58.8,54.6,63.3,725,1255517
2001,New Jersey,Colon and Rectum,62.6,61,64.3,5571,8492671
2001,Oregon,Colon and Rectum,49.2,46.9,51.5,1770,3467937
2001,Pennsylvania,Colon and Rectum,62.6,61.4,63.9,9195,12298970
2001,Rhode Island,Colon and Rectum,60.6,56.3,65.3,721,1057142
2001,South Carolina,Colon and Rectum,54.7,52.4,57,2188,4064995
2001,South Dakota,Colon and Rectum,56.9,51.9,62.2,482,757972
2001,Tennessee,Colon and Rectum,47.6,45.9,49.5,2753,5750789
2001,Texas,Colon and Rectum,51.3,50.2,52.4,9012,21319622
2001,Vermont,Colon and Rectum,54.7,49.1,60.8,350,612223
2001,Virginia,Colon and Rectum,49.7,48,51.4,3355,7198362
2001,Washington,Colon and Rectum,51.1,49.2,53,2852,5985722
2001,West Virginia,Colon and Rectum,63.8,60.4,67.3,1367,1801481
2001,Wisconsin,Colon and Rectum,56.5,54.6,58.5,3168,5406835
2001,Wyoming,Colon and Rectum,47.6,41.6,54.2,229,494657
2001,Indiana,Colon and Rectum,58.7,56.8,60.7,3561,6127760
2001,Iowa,Colon and Rectum,63.3,60.6,66.1,2153,2931997
2001,Kansas,Colon and Rectum,52.9,50.3,55.7,1481,2702162
2001,Kentucky,Colon and Rectum,64,61.5,66.5,2617,4068132
2001,Louisiana,Colon and Rectum,60,57.7,62.4,2522,4477875
2001,Maine,Colon and Rectum,55.6,51.8,59.5,816,1285692
2001,Maryland,Colon and Rectum,55.8,53.8,57.9,2825,5374691
2001,Massachusetts,Colon and Rectum,62.1,60.3,64,4226,6397634
2001,Michigan,Colon and Rectum,55.3,53.9,56.8,5462,9991120
2001,Minnesota,Colon and Rectum,51.6,49.5,53.6,2499,4982796
2001,Mississippi,Colon and Rectum,null,null,null,Data Suppressed,null
2001,Missouri,Colon and Rectum,59.8,57.9,61.8,3566,5641142
2001,Arizona,Colon and Rectum,46.9,45.1,48.8,2480,5273477
2001,Arkansas,Colon and Rectum,51.3,48.7,54,1498,2691571
2001,Alaska,Colon and Rectum,63.7,55.2,73.1,238,633714
2001,California,Colon and Rectum,48.7,47.9,49.5,14587,34479458
2001,Colorado,Colon and Rectum,46.8,44.6,49.1,1706,4425687
2001,Connecticut,Colon and Rectum,58.9,56.5,61.4,2217,3432835
2001,Delaware,Colon and Rectum,58.9,53.7,64.4,479,795699
2001,District of Columbia,Colon and Rectum,58.2,52,64.9,326,574504
2001,Florida,Colon and Rectum,56.8,55.8,57.8,11842,16356966
2001,Georgia,Colon and Rectum,51.2,49.5,53,3545,8377038
2001,Hawaii,Colon and Rectum,52.9,49,57,683,1225948
2001,Idaho,Colon and Rectum,45.9,42.1,49.8,555,1319962
2001,Illinois,Colon and Rectum,58.5,57.2,59.9,7081,12488445
2001,Alabama,Colon and Rectum,50.6,48.5,52.7,2337,4467634
2002,Utah,Colon and Rectum,42.1,39,45.3,698,2324815
2002,Alaska,Colon and Rectum,55.4,47.7,64,215,642337
2002,Connecticut,Colon and Rectum,59.3,56.9,61.8,2267,3458749
2002,California,Colon and Rectum,47.5,46.7,48.2,14544,34871843
2002,Colorado,Colon and Rectum,45.8,43.6,48.1,1702,4490406
2002,Arizona,Colon and Rectum,44.9,43.1,46.7,2432,5396255
2002,Arkansas,Colon and Rectum,50,47.4,52.6,1467,2705927
2002,Missouri,Colon and Rectum,54.8,52.9,56.7,3306,5674825
2002,Minnesota,Colon and Rectum,51.3,49.3,53.4,2541,5018935
2002,Mississippi,Colon and Rectum,null,null,null,Data Suppressed,null
2002,Michigan,Colon and Rectum,54.9,53.4,56.4,5490,10015710
2002,Maryland,Colon and Rectum,52.2,50.3,54.2,2715,5440389
2002,Massachusetts,Colon and Rectum,59.7,57.9,61.6,4106,6417206
2002,Maine,Colon and Rectum,63.2,59.2,67.4,944,1295960
2002,Louisiana,Colon and Rectum,59.6,57.3,62,2545,4497267
2002,Kentucky,Colon and Rectum,60.4,58.1,62.8,2501,4089875
2002,Iowa,Colon and Rectum,61.2,58.6,63.9,2086,2934234
2002,Kansas,Colon and Rectum,50.4,47.8,53.1,1423,2713535
2002,Indiana,Colon and Rectum,57.8,55.9,59.7,3545,6155967
2002,Idaho,Colon and Rectum,44.1,40.5,48,550,1340372
2002,Illinois,Colon and Rectum,59.7,58.3,61,7279,12525556
2002,Hawaii,Colon and Rectum,55.7,51.7,59.9,737,1239613
2002,Florida,Colon and Rectum,53.4,52.4,54.4,11358,16689370
2002,Georgia,Colon and Rectum,53,51.3,54.8,3766,8508256
2002,District of Columbia,Colon and Rectum,80.9,73.6,88.7,457,573158
2002,Delaware,Colon and Rectum,53.4,48.5,58.6,444,806169
2002,Ohio,Colon and Rectum,55.4,54.1,56.8,6685,11407889
2002,North Dakota,Colon and Rectum,53.9,48.7,59.6,396,638168
2002,New York,Colon and Rectum,56.9,55.8,57.9,11296,19137800
2002,North Carolina,Colon and Rectum,50.2,48.6,51.7,4104,8326201
2002,New Mexico,Colon and Rectum,42.7,39.7,45.8,770,1855309
2002,New Hampshire,Colon and Rectum,57.7,53.6,62,728,1269089
2002,New Jersey,Colon and Rectum,60.9,59.2,62.5,5482,8552643
2002,Nevada,Colon and Rectum,53.3,50.1,56.7,1062,2173791
2002,Nebraska,Colon and Rectum,57.9,54.4,61.5,1060,1728292
2002,Montana,Colon and Rectum,52.1,47.7,56.8,517,911667
2002,Oklahoma,Colon and Rectum,53.2,50.8,55.6,1930,3489080
2002,Oregon,Colon and Rectum,47.6,45.4,49.9,1764,3513424
2002,Pennsylvania,Colon and Rectum,58.8,57.6,60.1,8681,12331031
2002,Rhode Island,Colon and Rectum,60.4,56.1,65,725,1065995
2002,South Carolina,Colon and Rectum,55.7,53.4,58,2286,4107795
2002,South Dakota,Colon and Rectum,65.4,60,71.1,551,760020
2002,Tennessee,Colon and Rectum,46.8,45.1,48.6,2746,5795918
2002,Texas,Colon and Rectum,50.9,49.9,52,9151,21690325
2002,Vermont,Colon and Rectum,53.6,48.1,59.5,351,615442
2002,Virginia,Colon and Rectum,48.3,46.6,49.9,3336,7286873
2002,Washington,Colon and Rectum,48.3,46.5,50.2,2767,6052349
2002,West Virginia,Colon and Rectum,63.2,59.9,66.7,1367,1805414
2002,Wisconsin,Colon and Rectum,53.9,52,55.8,3065,5445162
2002,Wyoming,Colon and Rectum,46,40.2,52.4,226,500017
2002,Alabama,Colon and Rectum,50.3,48.3,52.4,2355,4480089
2003,Delaware,Colon and Rectum,53.7,48.9,58.8,463,818003
2003,Colorado,Colon and Rectum,45.8,43.6,48,1758,4528732
2003,Connecticut,Colon and Rectum,54.1,51.8,56.5,2090,3484336
2003,Arkansas,Colon and Rectum,50.8,48.3,53.5,1517,2724816
2003,California,Colon and Rectum,47.1,46.4,47.9,14761,35253159
2003,Nebraska,Colon and Rectum,58.1,54.6,61.7,1077,1738643
2003,Montana,Colon and Rectum,47.4,43.3,51.9,485,919630
2003,Mississippi,Colon and Rectum,56,53.3,58.9,1582,2868312
2003,Missouri,Colon and Rectum,55.4,53.6,57.3,3395,5709403
2003,Alabama,Colon and Rectum,50.1,48.1,52.1,2376,4503491
2003,Alaska,Colon and Rectum,53.8,46.4,61.9,226,648414
2003,Arizona,Colon and Rectum,45.1,43.4,46.9,2523,5510364
2003,Minnesota,Colon and Rectum,49.7,47.8,51.7,2505,5053572
2003,Michigan,Colon and Rectum,53.8,52.4,55.3,5477,10041152
2003,Maryland,Colon and Rectum,55.3,53.3,57.3,2937,5496269
2003,Massachusetts,Colon and Rectum,57.2,55.4,59,3971,6422565
2003,Maine,Colon and Rectum,56.9,53.1,60.8,862,1306513
2003,Louisiana,Colon and Rectum,58.1,55.9,60.5,2523,4521042
2003,Kansas,Colon and Rectum,54.6,51.9,57.4,1550,2723004
2003,Kentucky,Colon and Rectum,60.7,58.4,63.2,2558,4117170
2003,Iowa,Colon and Rectum,57.2,54.6,59.8,1959,2941999
2003,Illinois,Colon and Rectum,57.4,56.1,58.8,7091,12556006
2003,Indiana,Colon and Rectum,55.6,53.7,57.5,3472,6196638
2003,Idaho,Colon and Rectum,46.4,42.8,50.3,595,1363380
2003,Georgia,Colon and Rectum,51.1,49.4,52.8,3724,8622793
2003,Hawaii,Colon and Rectum,51.7,47.9,55.6,700,1251154
2003,Florida,Colon and Rectum,52.1,51.1,53,11248,17004085
2003,District of Columbia,Colon and Rectum,64.3,57.8,71.3,363,568502
2003,Nevada,Colon and Rectum,49.9,46.8,53.1,1045,2248850
2003,New Hampshire,Colon and Rectum,54.2,50.2,58.4,695,1279840
2003,New Jersey,Colon and Rectum,57.4,55.8,59,5231,8601402
2003,New Mexico,Colon and Rectum,44.3,41.3,47.5,817,1877574
2003,New York,Colon and Rectum,54.9,53.9,55.9,11033,19175939
2003,North Carolina,Colon and Rectum,49.6,48.1,51.1,4162,8422501
2003,North Dakota,Colon and Rectum,58.8,53.4,64.7,430,638817
2003,Ohio,Colon and Rectum,54.1,52.8,55.4,6609,11434788
2003,Oklahoma,Colon and Rectum,52.4,50,54.8,1918,3504892
2003,Oregon,Colon and Rectum,49.2,47,51.6,1855,3547376
2003,Pennsylvania,Colon and Rectum,57.4,56.2,58.6,8545,12374658
2003,Rhode Island,Colon and Rectum,52.9,48.8,57.2,638,1071342
2003,South Carolina,Colon and Rectum,55.1,52.9,57.4,2324,4150297
2003,South Dakota,Colon and Rectum,56,51.1,61.3,478,763729
2003,Tennessee,Colon and Rectum,50.1,48.3,52,2990,5847812
2003,Texas,Colon and Rectum,49.6,48.6,50.6,9142,22030931
2003,Utah,Colon and Rectum,43.4,40.3,46.7,741,2360137
2003,Vermont,Colon and Rectum,51.3,45.9,57.1,337,617858
2003,Virginia,Colon and Rectum,50.6,49,52.3,3576,7366977
2003,Washington,Colon and Rectum,48.4,46.6,50.2,2837,6104115
2003,West Virginia,Colon and Rectum,62.7,59.4,66.1,1370,1812295
2003,Wisconsin,Colon and Rectum,53.1,51.3,55.1,3070,5479203
2003,Wyoming,Colon and Rectum,47.2,41.3,53.6,239,503453
2004,Arizona,Colon and Rectum,42,40.4,43.7,2419,5652404
2004,Utah,Colon and Rectum,38.9,36,41.9,687,2401580
2004,Minnesota,Colon and Rectum,49.7,47.7,51.6,2541,5087713
2004,Mississippi,Colon and Rectum,56.5,53.8,59.4,1623,2889010
2004,Missouri,Colon and Rectum,51.3,49.5,53.1,3166,5747741
2004,Montana,Colon and Rectum,46,42,50.3,483,930009
2004,Nebraska,Colon and Rectum,54.6,51.3,58.1,1020,1749370
2004,Nevada,Colon and Rectum,50.4,47.4,53.5,1095,2346222
2004,New Hampshire,Colon and Rectum,52.1,48.2,56.1,685,1290121
2004,New Jersey,Colon and Rectum,54.8,53.3,56.3,5039,8634561
2004,New Mexico,Colon and Rectum,44.1,41.2,47.2,836,1903808
2004,New York,Colon and Rectum,53.3,52.3,54.3,10827,19171567
2004,Arkansas,Colon and Rectum,51.3,48.8,54,1548,2749686
2004,Alabama,Colon and Rectum,51.4,49.4,53.5,2470,4530729
2004,Massachusetts,Colon and Rectum,55.2,53.4,56.9,3851,6412281
2004,Michigan,Colon and Rectum,50.1,48.7,51.5,5163,10055315
2004,Maryland,Colon and Rectum,48.7,46.9,50.6,2633,5546935
2004,Louisiana,Colon and Rectum,54.3,52.1,56.5,2396,4552238
2004,Maine,Colon and Rectum,57.6,53.9,61.5,890,1313688
2004,Kansas,Colon and Rectum,51,48.4,53.7,1467,2734373
2004,Kentucky,Colon and Rectum,59.6,57.3,61.9,2546,4146101
2004,Indiana,Colon and Rectum,53.3,51.5,55.2,3368,6233007
2004,Iowa,Colon and Rectum,56.3,53.8,58.8,1944,2953635
2004,Illinois,Colon and Rectum,57.8,56.4,59.1,7200,12589773
2004,Hawaii,Colon and Rectum,52.9,49.1,56.9,737,1273569
2004,Idaho,Colon and Rectum,44.4,40.9,48.2,585,1391802
2004,Georgia,Colon and Rectum,51.7,50.1,53.4,3890,8769252
2004,Florida,Colon and Rectum,51.2,50.2,52.1,11297,17415318
2004,District of Columbia,Colon and Rectum,52.8,46.9,59.2,297,567754
2004,Delaware,Colon and Rectum,51.5,46.9,56.5,454,830803
2004,Colorado,Colon and Rectum,47.8,45.6,50,1899,4575013
2004,Connecticut,Colon and Rectum,54.8,52.5,57.2,2148,3496094
